,filename,dose_Gy,particle_type,hr_post_exposure
138,P280_73668439105-E6_006_019_proj.tif,1.0,X-ray,4
139,P280_73668439105-E6_017_004_proj.tif,1.0,X-ray,4
140,P280_73668439105-C7_026_020_proj.tif,1.0,X-ray,4
142,P280_73668439105-F5_011_034_proj.tif,1.0,X-ray,4
146,P280_73668439105-A7_017_017_proj.tif,1.0,X-ray,4
148,P280_73668439105-E5_011_036_proj.tif,1.0,X-ray,4
152,P280_73668439105-A7_016_025_proj.tif,1.0,X-ray,4
155,P280_73668439105-C7_034_014_proj.tif,1.0,X-ray,4
159,P280_73668439105-A7_007_024_proj.tif,1.0,X-ray,4
160,P280_73668439105-E1_005_058_proj.tif,1.0,X-ray,4
163,P280_73668439105-F5_005_044_proj.tif,1.0,X-ray,4
169,P280_73668439105-E5_011_034_proj.tif,1.0,X-ray,4
171,P280_73668439105-A7_007_025_proj.tif,1.0,X-ray,4
172,P280_73668439105-D5_014_037_proj.tif,1.0,X-ray,4
173,P280_73668439105-E1_007_028_proj.tif,1.0,X-ray,4
175,P280_73668439105-C7_016_017_proj.tif,1.0,X-ray,4
176,P280_73668439105-E1_014_006_proj.tif,1.0,X-ray,4
178,P280_73668439105-A7_006_009_proj.tif,1.0,X-ray,4
180,P280_73668439105-C7_033_002_proj.tif,1.0,X-ray,4
183,P280_73668439105-A7_012_002_proj.tif,1.0,X-ray,4
186,P280_73668439105-C7_021_013_proj.tif,1.0,X-ray,4
187,P280_73668439105-E5_011_018_proj.tif,1.0,X-ray,4
189,P280_73668439105-E5_005_012_proj.tif,1.0,X-ray,4
193,P280_73668439105-E6_012_016_proj.tif,1.0,X-ray,4
194,P280_73668439105-D5_003_049_proj.tif,1.0,X-ray,4
195,P280_73668439105-C7_024_020_proj.tif,1.0,X-ray,4
196,P280_73668439105-A7_002_048_proj.tif,1.0,X-ray,4
198,P280_73668439105-E5_012_029_proj.tif,1.0,X-ray,4
199,P280_73668439105-F5_013_022_proj.tif,1.0,X-ray,4
200,P280_73668439105-E1_010_003_proj.tif,1.0,X-ray,4
201,P280_73668439105-D5_012_030_proj.tif,1.0,X-ray,4
204,P280_73668439105-E1_001_059_proj.tif,1.0,X-ray,4
205,P280_73668439105-C7_011_018_proj.tif,1.0,X-ray,4
208,P280_73668439105-E6_002_027_proj.tif,1.0,X-ray,4
209,P280_73668439105-D5_014_010_proj.tif,1.0,X-ray,4
210,P280_73668439105-F5_001_051_proj.tif,1.0,X-ray,4
211,P280_73668439105-E5_002_056_proj.tif,1.0,X-ray,4
213,P280_73668439105-E6_016_031_proj.tif,1.0,X-ray,4
215,P280_73668439105-E5_011_009_proj.tif,1.0,X-ray,4
216,P280_73668439105-E5_008_014_proj.tif,1.0,X-ray,4
217,P280_73668439105-E2_015_001_proj.tif,1.0,X-ray,4
218,P280_73668439105-E1_001_055_proj.tif,1.0,X-ray,4
219,P280_73668439105-D5_005_031_proj.tif,1.0,X-ray,4
221,P280_73668439105-E6_006_001_proj.tif,1.0,X-ray,4
222,P280_73668439105-F5_008_035_proj.tif,1.0,X-ray,4
226,P280_73668439105-F5_006_009_proj.tif,1.0,X-ray,4
228,P280_73668439105-E1_011_010_proj.tif,1.0,X-ray,4
229,P280_73668439105-E1_015_016_proj.tif,1.0,X-ray,4
233,P280_73668439105-E5_001_030_proj.tif,1.0,X-ray,4
234,P280_73668439105-A7_013_018_proj.tif,1.0,X-ray,4
235,P280_73668439105-E2_032_008_proj.tif,1.0,X-ray,4
236,P280_73668439105-E1_015_001_proj.tif,1.0,X-ray,4
237,P280_73668439105-D5_008_019_proj.tif,1.0,X-ray,4
239,P280_73668439105-E5_011_041_proj.tif,1.0,X-ray,4
241,P280_73668439105-D5_015_022_proj.tif,1.0,X-ray,4
242,P280_73668439105-D5_001_028_proj.tif,1.0,X-ray,4
249,P280_73668439105-E2_012_001_proj.tif,1.0,X-ray,4
250,P280_73668439105-D5_011_024_proj.tif,1.0,X-ray,4
251,P280_73668439105-E1_005_051_proj.tif,1.0,X-ray,4
252,P280_73668439105-E6_003_009_proj.tif,1.0,X-ray,4
255,P280_73668439105-C7_032_012_proj.tif,1.0,X-ray,4
257,P280_73668439105-E2_027_004_proj.tif,1.0,X-ray,4
258,P280_73668439105-D5_007_037_proj.tif,1.0,X-ray,4
259,P280_73668439105-E1_007_019_proj.tif,1.0,X-ray,4
260,P280_73668439105-A7_001_027_proj.tif,1.0,X-ray,4
261,P280_73668439105-F5_012_008_proj.tif,1.0,X-ray,4
264,P280_73668439105-F5_004_048_proj.tif,1.0,X-ray,4
266,P280_73668439105-E2_004_002_proj.tif,1.0,X-ray,4
267,P280_73668439105-D5_005_002_proj.tif,1.0,X-ray,4
275,P280_73668439105-D5_015_025_proj.tif,1.0,X-ray,4
276,P280_73668439105-E2_036_002_proj.tif,1.0,X-ray,4
281,P280_73668439105-D5_008_022_proj.tif,1.0,X-ray,4
282,P280_73668439105-C7_004_007_proj.tif,1.0,X-ray,4
283,P280_73668439105-A7_006_016_proj.tif,1.0,X-ray,4
284,P280_73668439105-F5_007_032_proj.tif,1.0,X-ray,4
287,P280_73668439105-E6_010_015_proj.tif,1.0,X-ray,4
289,P280_73668439105-E1_002_013_proj.tif,1.0,X-ray,4
290,P280_73668439105-E5_009_042_proj.tif,1.0,X-ray,4
292,P280_73668439105-E6_004_026_proj.tif,1.0,X-ray,4
294,P280_73668439105-E1_001_070_proj.tif,1.0,X-ray,4
296,P280_73668439105-E2_013_001_proj.tif,1.0,X-ray,4
297,P280_73668439105-F5_001_040_proj.tif,1.0,X-ray,4
298,P280_73668439105-A7_008_026_proj.tif,1.0,X-ray,4
300,P280_73668439105-A7_030_017_proj.tif,1.0,X-ray,4
302,P280_73668439105-E5_011_004_proj.tif,1.0,X-ray,4
303,P280_73668439105-C7_023_001_proj.tif,1.0,X-ray,4
304,P280_73668439105-E6_004_023_proj.tif,1.0,X-ray,4
306,P280_73668439105-A7_019_006_proj.tif,1.0,X-ray,4
307,P280_73668439105-F5_001_004_proj.tif,1.0,X-ray,4
309,P280_73668439105-E2_011_010_proj.tif,1.0,X-ray,4
311,P280_73668439105-C7_007_023_proj.tif,1.0,X-ray,4
313,P280_73668439105-E5_003_043_proj.tif,1.0,X-ray,4
315,P280_73668439105-E5_002_028_proj.tif,1.0,X-ray,4
317,P280_73668439105-F5_003_047_proj.tif,1.0,X-ray,4
320,P280_73668439105-D5_008_034_proj.tif,1.0,X-ray,4
324,P280_73668439105-A7_021_009_proj.tif,1.0,X-ray,4
326,P280_73668439105-F5_011_016_proj.tif,1.0,X-ray,4
327,P280_73668439105-C7_030_012_proj.tif,1.0,X-ray,4
329,P280_73668439105-E6_021_020_proj.tif,1.0,X-ray,4
330,P280_73668439105-D5_009_014_proj.tif,1.0,X-ray,4
331,P280_73668439105-F5_004_006_proj.tif,1.0,X-ray,4
333,P280_73668439105-E1_001_054_proj.tif,1.0,X-ray,4
334,P280_73668439105-E5_003_050_proj.tif,1.0,X-ray,4
335,P280_73668439105-A7_023_021_proj.tif,1.0,X-ray,4
336,P280_73668439105-F5_015_002_proj.tif,1.0,X-ray,4
339,P280_73668439105-E6_006_013_proj.tif,1.0,X-ray,4
340,P280_73668439105-E6_001_037_proj.tif,1.0,X-ray,4
341,P280_73668439105-E5_013_033_proj.tif,1.0,X-ray,4
342,P280_73668439105-C7_028_009_proj.tif,1.0,X-ray,4
343,P280_73668439105-E5_015_009_proj.tif,1.0,X-ray,4
344,P280_73668439105-E2_031_004_proj.tif,1.0,X-ray,4
350,P280_73668439105-E6_001_018_proj.tif,1.0,X-ray,4
351,P280_73668439105-E6_003_003_proj.tif,1.0,X-ray,4
353,P280_73668439105-E6_017_007_proj.tif,1.0,X-ray,4
354,P280_73668439105-C7_002_038_proj.tif,1.0,X-ray,4
355,P280_73668439105-A7_024_009_proj.tif,1.0,X-ray,4
356,P280_73668439105-F5_006_021_proj.tif,1.0,X-ray,4
357,P280_73668439105-A7_004_014_proj.tif,1.0,X-ray,4
358,P280_73668439105-C7_012_018_proj.tif,1.0,X-ray,4
363,P280_73668439105-E6_006_038_proj.tif,1.0,X-ray,4
366,P280_73668439105-A7_002_019_proj.tif,1.0,X-ray,4
367,P280_73668439105-D5_005_037_proj.tif,1.0,X-ray,4
368,P280_73668439105-D5_007_024_proj.tif,1.0,X-ray,4
369,P280_73668439105-E6_004_005_proj.tif,1.0,X-ray,4
371,P280_73668439105-E1_008_022_proj.tif,1.0,X-ray,4
373,P280_73668439105-C7_001_001_proj.tif,1.0,X-ray,4
376,P280_73668439105-E5_005_007_proj.tif,1.0,X-ray,4
381,P280_73668439105-C7_032_002_proj.tif,1.0,X-ray,4
382,P280_73668439105-F5_003_011_proj.tif,1.0,X-ray,4
384,P280_73668439105-A7_002_018_proj.tif,1.0,X-ray,4
386,P280_73668439105-D5_003_031_proj.tif,1.0,X-ray,4
387,P280_73668439105-E1_001_044_proj.tif,1.0,X-ray,4
388,P280_73668439105-D5_001_042_proj.tif,1.0,X-ray,4
390,P280_73668439105-E2_023_005_proj.tif,1.0,X-ray,4
392,P280_73668439105-E6_003_037_proj.tif,1.0,X-ray,4
395,P280_73668439105-A7_001_011_proj.tif,1.0,X-ray,4
397,P280_73668439105-E1_001_025_proj.tif,1.0,X-ray,4
398,P280_73668439105-E5_002_006_proj.tif,1.0,X-ray,4
399,P280_73668439105-E1_002_053_proj.tif,1.0,X-ray,4
401,P280_73668439105-E6_010_005_proj.tif,1.0,X-ray,4
403,P280_73668439105-C7_020_005_proj.tif,1.0,X-ray,4
404,P280_73668439105-E6_006_010_proj.tif,1.0,X-ray,4
405,P280_73668439105-F5_008_015_proj.tif,1.0,X-ray,4
406,P280_73668439105-D5_008_032_proj.tif,1.0,X-ray,4
409,P280_73668439105-E6_002_044_proj.tif,1.0,X-ray,4
410,P280_73668439105-A7_017_019_proj.tif,1.0,X-ray,4
413,P280_73668439105-E1_003_002_proj.tif,1.0,X-ray,4
415,P280_73668439105-C7_011_015_proj.tif,1.0,X-ray,4
416,P280_73668439105-E5_001_053_proj.tif,1.0,X-ray,4
418,P280_73668439105-F5_001_041_proj.tif,1.0,X-ray,4
419,P280_73668439105-A7_001_019_proj.tif,1.0,X-ray,4
420,P280_73668439105-E2_014_001_proj.tif,1.0,X-ray,4
421,P280_73668439105-F5_002_017_proj.tif,1.0,X-ray,4
422,P280_73668439105-D5_003_005_proj.tif,1.0,X-ray,4
423,P280_73668439105-D5_012_034_proj.tif,1.0,X-ray,4
424,P280_73668439105-E1_013_002_proj.tif,1.0,X-ray,4
433,P280_73668439105-E2_018_001_proj.tif,1.0,X-ray,4
434,P280_73668439105-F5_012_009_proj.tif,1.0,X-ray,4
435,P280_73668439105-E1_016_001_proj.tif,1.0,X-ray,4
441,P280_73668439105-E6_014_036_proj.tif,1.0,X-ray,4
442,P280_73668439105-E1_008_015_proj.tif,1.0,X-ray,4
444,P280_73668439105-F5_001_067_proj.tif,1.0,X-ray,4
447,P280_73668439105-F5_010_009_proj.tif,1.0,X-ray,4
450,P280_73668439105-C7_007_006_proj.tif,1.0,X-ray,4
451,P280_73668439105-E1_012_021_proj.tif,1.0,X-ray,4
454,P280_73668439105-E5_011_042_proj.tif,1.0,X-ray,4
460,P280_73668439105-E5_003_010_proj.tif,1.0,X-ray,4
461,P280_73668439105-F5_006_031_proj.tif,1.0,X-ray,4
462,P280_73668439105-D5_002_022_proj.tif,1.0,X-ray,4
464,P280_73668439105-E5_013_038_proj.tif,1.0,X-ray,4
465,P280_73668439105-F5_003_048_proj.tif,1.0,X-ray,4
467,P280_73668439105-E5_007_048_proj.tif,1.0,X-ray,4
468,P280_73668439105-E1_010_007_proj.tif,1.0,X-ray,4
471,P280_73668439105-C7_003_029_proj.tif,1.0,X-ray,4
472,P280_73668439105-C7_005_001_proj.tif,1.0,X-ray,4
474,P280_73668439105-E5_005_015_proj.tif,1.0,X-ray,4
476,P280_73668439105-E6_008_002_proj.tif,1.0,X-ray,4
479,P280_73668439105-E5_015_007_proj.tif,1.0,X-ray,4
481,P280_73668439105-E6_001_034_proj.tif,1.0,X-ray,4
482,P280_73668439105-E2_004_009_proj.tif,1.0,X-ray,4
485,P280_73668439105-D5_002_001_proj.tif,1.0,X-ray,4
487,P280_73668439105-E2_016_002_proj.tif,1.0,X-ray,4
494,P280_73668439105-E6_015_019_proj.tif,1.0,X-ray,4
495,P280_73668439105-E2_029_004_proj.tif,1.0,X-ray,4
497,P280_73668439105-C7_003_011_proj.tif,1.0,X-ray,4
499,P280_73668439105-E1_003_050_proj.tif,1.0,X-ray,4
500,P280_73668439105-E5_007_045_proj.tif,1.0,X-ray,4
502,P280_73668439105-E1_009_048_proj.tif,1.0,X-ray,4
503,P280_73668439105-E6_002_040_proj.tif,1.0,X-ray,4
505,P280_73668439105-E6_004_045_proj.tif,1.0,X-ray,4
507,P280_73668439105-E2_023_007_proj.tif,1.0,X-ray,4
509,P280_73668439105-E1_004_019_proj.tif,1.0,X-ray,4
514,P280_73668439105-A7_004_023_proj.tif,1.0,X-ray,4
515,P280_73668439105-E5_008_017_proj.tif,1.0,X-ray,4
517,P280_73668439105-F5_013_013_proj.tif,1.0,X-ray,4
518,P280_73668439105-D5_011_012_proj.tif,1.0,X-ray,4
520,P280_73668439105-C7_013_010_proj.tif,1.0,X-ray,4
522,P280_73668439105-E2_012_010_proj.tif,1.0,X-ray,4
528,P280_73668439105-E5_009_035_proj.tif,1.0,X-ray,4
529,P280_73668439105-E1_002_002_proj.tif,1.0,X-ray,4
532,P280_73668439105-A7_004_002_proj.tif,1.0,X-ray,4
534,P280_73668439105-E2_031_001_proj.tif,1.0,X-ray,4
536,P280_73668439105-E6_016_002_proj.tif,1.0,X-ray,4
538,P280_73668439105-E6_006_016_proj.tif,1.0,X-ray,4
540,P280_73668439105-E2_008_012_proj.tif,1.0,X-ray,4
542,P280_73668439105-E5_001_036_proj.tif,1.0,X-ray,4
546,P280_73668439105-E6_010_030_proj.tif,1.0,X-ray,4
548,P280_73668439105-C7_002_033_proj.tif,1.0,X-ray,4
549,P280_73668439105-D5_001_011_proj.tif,1.0,X-ray,4
550,P280_73668439105-F5_004_029_proj.tif,1.0,X-ray,4
552,P280_73668439105-C7_001_019_proj.tif,1.0,X-ray,4
553,P280_73668439105-C7_007_025_proj.tif,1.0,X-ray,4
554,P280_73668439105-F5_003_010_proj.tif,1.0,X-ray,4
556,P280_73668439105-C7_033_009_proj.tif,1.0,X-ray,4
558,P280_73668439105-E5_004_023_proj.tif,1.0,X-ray,4
559,P280_73668439105-C7_010_013_proj.tif,1.0,X-ray,4
560,P280_73668439105-E5_007_034_proj.tif,1.0,X-ray,4
563,P280_73668439105-F5_003_037_proj.tif,1.0,X-ray,4
568,P280_73668439105-C7_029_015_proj.tif,1.0,X-ray,4
571,P280_73668439105-F5_006_019_proj.tif,1.0,X-ray,4
573,P280_73668439105-E1_002_049_proj.tif,1.0,X-ray,4
577,P280_73668439105-A7_001_005_proj.tif,1.0,X-ray,4
581,P280_73668439105-C7_033_014_proj.tif,1.0,X-ray,4
582,P280_73668439105-E2_006_006_proj.tif,1.0,X-ray,4
583,P280_73668439105-E5_013_023_proj.tif,1.0,X-ray,4
593,P280_73668439105-D5_005_005_proj.tif,1.0,X-ray,4
594,P280_73668439105-A7_002_031_proj.tif,1.0,X-ray,4
595,P280_73668439105-D5_001_022_proj.tif,1.0,X-ray,4
596,P280_73668439105-E2_029_006_proj.tif,1.0,X-ray,4
598,P280_73668439105-C7_004_010_proj.tif,1.0,X-ray,4
599,P280_73668439105-A7_016_005_proj.tif,1.0,X-ray,4
600,P280_73668439105-E5_001_062_proj.tif,1.0,X-ray,4
603,P280_73668439105-F5_013_038_proj.tif,1.0,X-ray,4
605,P280_73668439105-E6_003_039_proj.tif,1.0,X-ray,4
606,P280_73668439105-F5_007_008_proj.tif,1.0,X-ray,4
607,P280_73668439105-F5_005_042_proj.tif,1.0,X-ray,4
608,P280_73668439105-C7_009_008_proj.tif,1.0,X-ray,4
613,P280_73668439105-D5_002_048_proj.tif,1.0,X-ray,4
614,P280_73668439105-E5_015_029_proj.tif,1.0,X-ray,4
615,P280_73668439105-E5_007_035_proj.tif,1.0,X-ray,4
616,P280_73668439105-D5_016_013_proj.tif,1.0,X-ray,4
621,P280_73668439105-F5_005_039_proj.tif,1.0,X-ray,4
622,P280_73668439105-A7_012_003_proj.tif,1.0,X-ray,4
624,P280_73668439105-F5_001_020_proj.tif,1.0,X-ray,4
625,P280_73668439105-F5_011_020_proj.tif,1.0,X-ray,4
628,P280_73668439105-F5_011_027_proj.tif,1.0,X-ray,4
632,P280_73668439105-E5_008_015_proj.tif,1.0,X-ray,4
633,P280_73668439105-E6_024_012_proj.tif,1.0,X-ray,4
636,P280_73668439105-C7_012_016_proj.tif,1.0,X-ray,4
638,P280_73668439105-E2_007_013_proj.tif,1.0,X-ray,4
644,P280_73668439105-E5_009_037_proj.tif,1.0,X-ray,4
645,P280_73668439105-A7_011_011_proj.tif,1.0,X-ray,4
646,P280_73668439105-D5_002_027_proj.tif,1.0,X-ray,4
647,P280_73668439105-E5_008_041_proj.tif,1.0,X-ray,4
648,P280_73668439105-E2_007_002_proj.tif,1.0,X-ray,4
650,P280_73668439105-E6_011_024_proj.tif,1.0,X-ray,4
651,P280_73668439105-E2_010_012_proj.tif,1.0,X-ray,4
652,P280_73668439105-A7_002_042_proj.tif,1.0,X-ray,4
653,P280_73668439105-F5_012_035_proj.tif,1.0,X-ray,4
656,P280_73668439105-E6_010_014_proj.tif,1.0,X-ray,4
658,P280_73668439105-E1_007_021_proj.tif,1.0,X-ray,4
659,P280_73668439105-E6_011_009_proj.tif,1.0,X-ray,4
660,P280_73668439105-E1_002_008_proj.tif,1.0,X-ray,4
661,P280_73668439105-E6_009_012_proj.tif,1.0,X-ray,4
662,P280_73668439105-E6_011_034_proj.tif,1.0,X-ray,4
663,P280_73668439105-E6_011_013_proj.tif,1.0,X-ray,4
664,P280_73668439105-E6_007_014_proj.tif,1.0,X-ray,4
666,P280_73668439105-E2_037_003_proj.tif,1.0,X-ray,4
668,P280_73668439105-E6_011_032_proj.tif,1.0,X-ray,4
669,P280_73668439105-D5_001_056_proj.tif,1.0,X-ray,4
670,P280_73668439105-A7_015_026_proj.tif,1.0,X-ray,4
671,P280_73668439105-E2_024_009_proj.tif,1.0,X-ray,4
674,P280_73668439105-E5_001_025_proj.tif,1.0,X-ray,4
679,P280_73668439105-D5_006_010_proj.tif,1.0,X-ray,4
680,P280_73668439105-A7_012_005_proj.tif,1.0,X-ray,4
681,P280_73668439105-E1_006_029_proj.tif,1.0,X-ray,4
682,P280_73668439105-E5_006_030_proj.tif,1.0,X-ray,4
684,P280_73668439105-F5_001_037_proj.tif,1.0,X-ray,4
685,P280_73668439105-C7_002_019_proj.tif,1.0,X-ray,4
686,P280_73668439105-D5_015_026_proj.tif,1.0,X-ray,4
687,P280_73668439105-E5_002_023_proj.tif,1.0,X-ray,4
689,P280_73668439105-E5_012_003_proj.tif,1.0,X-ray,4
691,P280_73668439105-E1_014_017_proj.tif,1.0,X-ray,4
693,P280_73668439105-F5_009_036_proj.tif,1.0,X-ray,4
694,P280_73668439105-E6_021_017_proj.tif,1.0,X-ray,4
695,P280_73668439105-E5_008_022_proj.tif,1.0,X-ray,4
696,P280_73668439105-E1_010_009_proj.tif,1.0,X-ray,4
697,P280_73668439105-E1_004_041_proj.tif,1.0,X-ray,4
698,P280_73668439105-D5_015_013_proj.tif,1.0,X-ray,4
702,P280_73668439105-E6_001_013_proj.tif,1.0,X-ray,4
703,P280_73668439105-E6_001_015_proj.tif,1.0,X-ray,4
706,P280_73668439105-D5_012_035_proj.tif,1.0,X-ray,4
707,P280_73668439105-E6_004_035_proj.tif,1.0,X-ray,4
709,P280_73668439105-A7_012_026_proj.tif,1.0,X-ray,4
711,P280_73668439105-C7_012_022_proj.tif,1.0,X-ray,4
718,P280_73668439105-E1_002_021_proj.tif,1.0,X-ray,4
720,P280_73668439105-E5_003_020_proj.tif,1.0,X-ray,4
721,P280_73668439105-D5_009_008_proj.tif,1.0,X-ray,4
722,P280_73668439105-E1_011_037_proj.tif,1.0,X-ray,4
723,P280_73668439105-E6_020_012_proj.tif,1.0,X-ray,4
729,P280_73668439105-D5_010_001_proj.tif,1.0,X-ray,4
730,P280_73668439105-C7_008_028_proj.tif,1.0,X-ray,4
731,P280_73668439105-C7_014_016_proj.tif,1.0,X-ray,4
732,P280_73668439105-E5_015_015_proj.tif,1.0,X-ray,4
734,P280_73668439105-F5_002_051_proj.tif,1.0,X-ray,4
736,P280_73668439105-E5_015_002_proj.tif,1.0,X-ray,4
737,P280_73668439105-E1_015_007_proj.tif,1.0,X-ray,4
738,P280_73668439105-E1_012_004_proj.tif,1.0,X-ray,4
740,P280_73668439105-F5_004_004_proj.tif,1.0,X-ray,4
742,P280_73668439105-E6_016_012_proj.tif,1.0,X-ray,4
747,P280_73668439105-E5_005_011_proj.tif,1.0,X-ray,4
749,P280_73668439105-E6_006_002_proj.tif,1.0,X-ray,4
750,P280_73668439105-E1_003_044_proj.tif,1.0,X-ray,4
751,P280_73668439105-C7_005_004_proj.tif,1.0,X-ray,4
755,P280_73668439105-E6_004_018_proj.tif,1.0,X-ray,4
758,P280_73668439105-D5_009_023_proj.tif,1.0,X-ray,4
759,P280_73668439105-E2_040_001_proj.tif,1.0,X-ray,4
760,P280_73668439105-C7_003_012_proj.tif,1.0,X-ray,4
762,P280_73668439105-E6_012_008_proj.tif,1.0,X-ray,4
763,P280_73668439105-A7_006_022_proj.tif,1.0,X-ray,4
764,P280_73668439105-E5_006_037_proj.tif,1.0,X-ray,4
771,P280_73668439105-C7_022_002_proj.tif,1.0,X-ray,4
775,P280_73668439105-E2_013_011_proj.tif,1.0,X-ray,4
776,P280_73668439105-A7_023_013_proj.tif,1.0,X-ray,4
778,P280_73668439105-E1_006_032_proj.tif,1.0,X-ray,4
779,P280_73668439105-F5_009_010_proj.tif,1.0,X-ray,4
782,P280_73668439105-E5_011_045_proj.tif,1.0,X-ray,4
783,P280_73668439105-E2_033_002_proj.tif,1.0,X-ray,4
784,P280_73668439105-E1_001_056_proj.tif,1.0,X-ray,4
785,P280_73668439105-F5_004_036_proj.tif,1.0,X-ray,4
786,P280_73668439105-C7_003_017_proj.tif,1.0,X-ray,4
787,P280_73668439105-E5_015_003_proj.tif,1.0,X-ray,4
791,P280_73668439105-C7_003_010_proj.tif,1.0,X-ray,4
792,P280_73668439105-E1_001_060_proj.tif,1.0,X-ray,4
793,P280_73668439105-E5_015_013_proj.tif,1.0,X-ray,4
796,P280_73668439105-E5_013_022_proj.tif,1.0,X-ray,4
797,P280_73668439105-E1_014_009_proj.tif,1.0,X-ray,4
798,P280_73668439105-E1_004_062_proj.tif,1.0,X-ray,4
800,P280_73668439105-E1_007_023_proj.tif,1.0,X-ray,4
802,P280_73668439105-E1_018_001_proj.tif,1.0,X-ray,4
803,P280_73668439105-C7_015_019_proj.tif,1.0,X-ray,4
804,P280_73668439105-E6_007_027_proj.tif,1.0,X-ray,4
806,P280_73668439105-E1_002_037_proj.tif,1.0,X-ray,4
808,P280_73668439105-C7_008_014_proj.tif,1.0,X-ray,4
809,P280_73668439105-E5_012_012_proj.tif,1.0,X-ray,4
