,filename,dose_Gy,particle_type,hr_post_exposure
299,P242_73665006707-G3_008_006_proj.tif,0.82,Fe,4
301,P242_73665006707-E4_013_033_proj.tif,0.82,Fe,4
305,P242_73665006707-G4_004_011_proj.tif,0.82,Fe,4
308,P242_73665006707-A8_003_007_proj.tif,0.82,Fe,4
310,P242_73665006707-C7_003_027_proj.tif,0.82,Fe,4
312,P242_73665006707-A6_010_036_proj.tif,0.82,Fe,4
314,P242_73665006707-E4_006_005_proj.tif,0.82,Fe,4
316,P242_73665006707-A8_004_023_proj.tif,0.82,Fe,4
318,P242_73665006707-A6_013_009_proj.tif,0.82,Fe,4
319,P242_73665006707-G3_013_031_proj.tif,0.82,Fe,4
321,P242_73665006707-C7_002_015_proj.tif,0.82,Fe,4
322,P242_73665006707-G3_013_029_proj.tif,0.82,Fe,4
323,P242_73665006707-C7_002_036_proj.tif,0.82,Fe,4
325,P242_73665006707-G4_004_043_proj.tif,0.82,Fe,4
328,P242_73665006707-C8_001_044_proj.tif,0.82,Fe,4
332,P242_73665006707-G3_011_023_proj.tif,0.82,Fe,4
337,P242_73665006707-E4_001_002_proj.tif,0.82,Fe,4
338,P242_73665006707-G4_004_032_proj.tif,0.82,Fe,4
345,P242_73665006707-C6_009_013_proj.tif,0.82,Fe,4
346,P242_73665006707-C7_011_005_proj.tif,0.82,Fe,4
347,P242_73665006707-C7_007_005_proj.tif,0.82,Fe,4
348,P242_73665006707-E4_005_004_proj.tif,0.82,Fe,4
349,P242_73665006707-E4_012_029_proj.tif,0.82,Fe,4
352,P242_73665006707-G4_005_030_proj.tif,0.82,Fe,4
359,P242_73665006707-E4_016_007_proj.tif,0.82,Fe,4
360,P242_73665006707-A6_003_006_proj.tif,0.82,Fe,4
361,P242_73665006707-A6_009_033_proj.tif,0.82,Fe,4
362,P242_73665006707-G3_013_021_proj.tif,0.82,Fe,4
364,P242_73665006707-G3_002_031_proj.tif,0.82,Fe,4
365,P242_73665006707-C7_015_001_proj.tif,0.82,Fe,4
370,P242_73665006707-C8_027_012_proj.tif,0.82,Fe,4
372,P242_73665006707-C8_005_009_proj.tif,0.82,Fe,4
374,P242_73665006707-G4_006_037_proj.tif,0.82,Fe,4
375,P242_73665006707-A6_016_001_proj.tif,0.82,Fe,4
377,P242_73665006707-A8_031_004_proj.tif,0.82,Fe,4
378,P242_73665006707-C7_028_009_proj.tif,0.82,Fe,4
379,P242_73665006707-G3_016_015_proj.tif,0.82,Fe,4
380,P242_73665006707-C7_003_005_proj.tif,0.82,Fe,4
383,P242_73665006707-E4_007_041_proj.tif,0.82,Fe,4
385,P242_73665006707-G3_008_020_proj.tif,0.82,Fe,4
389,P242_73665006707-E4_005_027_proj.tif,0.82,Fe,4
391,P242_73665006707-C8_024_009_proj.tif,0.82,Fe,4
393,P242_73665006707-C7_031_007_proj.tif,0.82,Fe,4
394,P242_73665006707-C7_013_013_proj.tif,0.82,Fe,4
396,P242_73665006707-A8_035_007_proj.tif,0.82,Fe,4
400,P242_73665006707-A6_015_019_proj.tif,0.82,Fe,4
402,P242_73665006707-C8_016_017_proj.tif,0.82,Fe,4
407,P242_73665006707-A8_038_007_proj.tif,0.82,Fe,4
408,P242_73665006707-A8_009_005_proj.tif,0.82,Fe,4
411,P242_73665006707-A6_006_003_proj.tif,0.82,Fe,4
412,P242_73665006707-C8_009_021_proj.tif,0.82,Fe,4
414,P242_73665006707-E4_012_009_proj.tif,0.82,Fe,4
417,P242_73665006707-E4_003_023_proj.tif,0.82,Fe,4
425,P242_73665006707-A6_003_019_proj.tif,0.82,Fe,4
426,P242_73665006707-A8_034_007_proj.tif,0.82,Fe,4
427,P242_73665006707-E4_012_030_proj.tif,0.82,Fe,4
428,P242_73665006707-A8_004_015_proj.tif,0.82,Fe,4
429,P242_73665006707-C8_009_001_proj.tif,0.82,Fe,4
430,P242_73665006707-E4_014_029_proj.tif,0.82,Fe,4
431,P242_73665006707-G3_006_029_proj.tif,0.82,Fe,4
432,P242_73665006707-A8_017_007_proj.tif,0.82,Fe,4
436,P242_73665006707-G3_007_029_proj.tif,0.82,Fe,4
437,P242_73665006707-E4_005_037_proj.tif,0.82,Fe,4
438,P242_73665006707-G4_008_039_proj.tif,0.82,Fe,4
439,P242_73665006707-G4_004_039_proj.tif,0.82,Fe,4
440,P242_73665006707-C7_002_005_proj.tif,0.82,Fe,4
443,P242_73665006707-C7_001_001_proj.tif,0.82,Fe,4
445,P242_73665006707-A6_011_034_proj.tif,0.82,Fe,4
446,P242_73665006707-A8_006_005_proj.tif,0.82,Fe,4
448,P242_73665006707-E4_002_014_proj.tif,0.82,Fe,4
449,P242_73665006707-A6_003_053_proj.tif,0.82,Fe,4
452,P242_73665006707-A8_018_011_proj.tif,0.82,Fe,4
453,P242_73665006707-A6_018_029_proj.tif,0.82,Fe,4
455,P242_73665006707-G4_003_041_proj.tif,0.82,Fe,4
456,P242_73665006707-C8_012_028_proj.tif,0.82,Fe,4
457,P242_73665006707-G4_001_024_proj.tif,0.82,Fe,4
458,P242_73665006707-C7_010_024_proj.tif,0.82,Fe,4
459,P242_73665006707-G3_007_025_proj.tif,0.82,Fe,4
463,P242_73665006707-C7_012_022_proj.tif,0.82,Fe,4
466,P242_73665006707-A6_012_015_proj.tif,0.82,Fe,4
469,P242_73665006707-A6_016_015_proj.tif,0.82,Fe,4
470,P242_73665006707-E4_021_013_proj.tif,0.82,Fe,4
473,P242_73665006707-C7_001_040_proj.tif,0.82,Fe,4
475,P242_73665006707-G4_002_056_proj.tif,0.82,Fe,4
477,P242_73665006707-E4_007_039_proj.tif,0.82,Fe,4
478,P242_73665006707-A6_007_032_proj.tif,0.82,Fe,4
480,P242_73665006707-G3_002_020_proj.tif,0.82,Fe,4
483,P242_73665006707-C8_012_019_proj.tif,0.82,Fe,4
484,P242_73665006707-C7_001_052_proj.tif,0.82,Fe,4
486,P242_73665006707-G3_007_035_proj.tif,0.82,Fe,4
488,P242_73665006707-G4_018_008_proj.tif,0.82,Fe,4
489,P242_73665006707-A8_015_016_proj.tif,0.82,Fe,4
490,P242_73665006707-C8_002_013_proj.tif,0.82,Fe,4
491,P242_73665006707-A6_003_010_proj.tif,0.82,Fe,4
492,P242_73665006707-C7_022_010_proj.tif,0.82,Fe,4
493,P242_73665006707-C7_010_011_proj.tif,0.82,Fe,4
496,P242_73665006707-C7_001_043_proj.tif,0.82,Fe,4
498,P242_73665006707-C6_006_004_proj.tif,0.82,Fe,4
501,P242_73665006707-G4_001_006_proj.tif,0.82,Fe,4
504,P242_73665006707-C6_002_011_proj.tif,0.82,Fe,4
506,P242_73665006707-C6_003_004_proj.tif,0.82,Fe,4
508,P242_73665006707-G3_001_019_proj.tif,0.82,Fe,4
510,P242_73665006707-A6_010_023_proj.tif,0.82,Fe,4
511,P242_73665006707-G3_017_013_proj.tif,0.82,Fe,4
512,P242_73665006707-C7_003_015_proj.tif,0.82,Fe,4
513,P242_73665006707-G4_001_020_proj.tif,0.82,Fe,4
516,P242_73665006707-C7_006_008_proj.tif,0.82,Fe,4
519,P242_73665006707-E4_021_006_proj.tif,0.82,Fe,4
521,P242_73665006707-C7_016_021_proj.tif,0.82,Fe,4
523,P242_73665006707-A6_007_028_proj.tif,0.82,Fe,4
524,P242_73665006707-E4_008_037_proj.tif,0.82,Fe,4
525,P242_73665006707-E4_009_008_proj.tif,0.82,Fe,4
526,P242_73665006707-A8_002_002_proj.tif,0.82,Fe,4
527,P242_73665006707-A8_026_014_proj.tif,0.82,Fe,4
530,P242_73665006707-G4_010_006_proj.tif,0.82,Fe,4
531,P242_73665006707-C6_019_007_proj.tif,0.82,Fe,4
533,P242_73665006707-G3_018_020_proj.tif,0.82,Fe,4
535,P242_73665006707-G3_022_012_proj.tif,0.82,Fe,4
537,P242_73665006707-C6_030_005_proj.tif,0.82,Fe,4
539,P242_73665006707-C7_002_032_proj.tif,0.82,Fe,4
541,P242_73665006707-A8_027_015_proj.tif,0.82,Fe,4
543,P242_73665006707-E4_010_013_proj.tif,0.82,Fe,4
544,P242_73665006707-A8_011_003_proj.tif,0.82,Fe,4
545,P242_73665006707-E4_007_023_proj.tif,0.82,Fe,4
547,P242_73665006707-C6_026_001_proj.tif,0.82,Fe,4
551,P242_73665006707-G3_009_003_proj.tif,0.82,Fe,4
555,P242_73665006707-G4_003_023_proj.tif,0.82,Fe,4
557,P242_73665006707-A6_004_029_proj.tif,0.82,Fe,4
561,P242_73665006707-E4_006_034_proj.tif,0.82,Fe,4
562,P242_73665006707-G4_015_021_proj.tif,0.82,Fe,4
564,P242_73665006707-E4_002_020_proj.tif,0.82,Fe,4
565,P242_73665006707-C8_002_022_proj.tif,0.82,Fe,4
566,P242_73665006707-A6_017_005_proj.tif,0.82,Fe,4
567,P242_73665006707-A6_016_004_proj.tif,0.82,Fe,4
569,P242_73665006707-A6_002_008_proj.tif,0.82,Fe,4
570,P242_73665006707-A6_016_021_proj.tif,0.82,Fe,4
572,P242_73665006707-A8_034_008_proj.tif,0.82,Fe,4
574,P242_73665006707-E4_018_011_proj.tif,0.82,Fe,4
575,P242_73665006707-C7_010_023_proj.tif,0.82,Fe,4
576,P242_73665006707-G4_018_019_proj.tif,0.82,Fe,4
578,P242_73665006707-A6_008_001_proj.tif,0.82,Fe,4
579,P242_73665006707-E4_008_024_proj.tif,0.82,Fe,4
580,P242_73665006707-G4_009_014_proj.tif,0.82,Fe,4
584,P242_73665006707-A6_014_015_proj.tif,0.82,Fe,4
585,P242_73665006707-C7_026_006_proj.tif,0.82,Fe,4
586,P242_73665006707-G3_004_032_proj.tif,0.82,Fe,4
587,P242_73665006707-C7_013_018_proj.tif,0.82,Fe,4
588,P242_73665006707-C8_026_001_proj.tif,0.82,Fe,4
589,P242_73665006707-G4_001_014_proj.tif,0.82,Fe,4
590,P242_73665006707-A6_009_010_proj.tif,0.82,Fe,4
591,P242_73665006707-C8_012_016_proj.tif,0.82,Fe,4
592,P242_73665006707-C8_011_010_proj.tif,0.82,Fe,4
597,P242_73665006707-C8_007_024_proj.tif,0.82,Fe,4
601,P242_73665006707-E4_023_010_proj.tif,0.82,Fe,4
602,P242_73665006707-C8_022_006_proj.tif,0.82,Fe,4
604,P242_73665006707-G4_008_026_proj.tif,0.82,Fe,4
609,P242_73665006707-G3_008_039_proj.tif,0.82,Fe,4
610,P242_73665006707-A6_002_030_proj.tif,0.82,Fe,4
611,P242_73665006707-E4_001_023_proj.tif,0.82,Fe,4
612,P242_73665006707-C7_011_024_proj.tif,0.82,Fe,4
617,P242_73665006707-G4_002_033_proj.tif,0.82,Fe,4
618,P242_73665006707-C8_002_008_proj.tif,0.82,Fe,4
619,P242_73665006707-G4_001_025_proj.tif,0.82,Fe,4
620,P242_73665006707-C8_024_007_proj.tif,0.82,Fe,4
623,P242_73665006707-G4_009_032_proj.tif,0.82,Fe,4
626,P242_73665006707-C7_026_010_proj.tif,0.82,Fe,4
627,P242_73665006707-C8_021_002_proj.tif,0.82,Fe,4
629,P242_73665006707-G4_007_052_proj.tif,0.82,Fe,4
630,P242_73665006707-C8_028_002_proj.tif,0.82,Fe,4
631,P242_73665006707-C6_017_005_proj.tif,0.82,Fe,4
634,P242_73665006707-G4_010_011_proj.tif,0.82,Fe,4
635,P242_73665006707-A6_002_033_proj.tif,0.82,Fe,4
637,P242_73665006707-C7_013_007_proj.tif,0.82,Fe,4
639,P242_73665006707-C8_020_017_proj.tif,0.82,Fe,4
640,P242_73665006707-A8_034_011_proj.tif,0.82,Fe,4
641,P242_73665006707-A8_024_012_proj.tif,0.82,Fe,4
642,P242_73665006707-G4_003_025_proj.tif,0.82,Fe,4
643,P242_73665006707-G4_002_050_proj.tif,0.82,Fe,4
649,P242_73665006707-A6_006_040_proj.tif,0.82,Fe,4
654,P242_73665006707-C7_012_005_proj.tif,0.82,Fe,4
655,P242_73665006707-G4_003_003_proj.tif,0.82,Fe,4
657,P242_73665006707-A6_002_052_proj.tif,0.82,Fe,4
665,P242_73665006707-G3_003_012_proj.tif,0.82,Fe,4
667,P242_73665006707-A8_004_006_proj.tif,0.82,Fe,4
672,P242_73665006707-C7_009_002_proj.tif,0.82,Fe,4
673,P242_73665006707-G3_002_019_proj.tif,0.82,Fe,4
675,P242_73665006707-A6_016_003_proj.tif,0.82,Fe,4
676,P242_73665006707-A6_013_011_proj.tif,0.82,Fe,4
677,P242_73665006707-E4_001_022_proj.tif,0.82,Fe,4
678,P242_73665006707-A8_010_012_proj.tif,0.82,Fe,4
683,P242_73665006707-A8_025_002_proj.tif,0.82,Fe,4
688,P242_73665006707-C6_020_005_proj.tif,0.82,Fe,4
690,P242_73665006707-A6_012_003_proj.tif,0.82,Fe,4
692,P242_73665006707-C8_001_013_proj.tif,0.82,Fe,4
699,P242_73665006707-C8_023_007_proj.tif,0.82,Fe,4
700,P242_73665006707-G3_013_009_proj.tif,0.82,Fe,4
701,P242_73665006707-C7_006_007_proj.tif,0.82,Fe,4
704,P242_73665006707-C7_006_034_proj.tif,0.82,Fe,4
705,P242_73665006707-C8_027_002_proj.tif,0.82,Fe,4
708,P242_73665006707-A6_001_025_proj.tif,0.82,Fe,4
710,P242_73665006707-C7_008_021_proj.tif,0.82,Fe,4
712,P242_73665006707-C7_004_004_proj.tif,0.82,Fe,4
713,P242_73665006707-G3_013_032_proj.tif,0.82,Fe,4
714,P242_73665006707-A6_009_014_proj.tif,0.82,Fe,4
715,P242_73665006707-C7_030_008_proj.tif,0.82,Fe,4
716,P242_73665006707-E4_007_022_proj.tif,0.82,Fe,4
717,P242_73665006707-C8_004_001_proj.tif,0.82,Fe,4
719,P242_73665006707-G3_001_025_proj.tif,0.82,Fe,4
724,P242_73665006707-A6_016_012_proj.tif,0.82,Fe,4
725,P242_73665006707-G3_014_013_proj.tif,0.82,Fe,4
726,P242_73665006707-C7_013_014_proj.tif,0.82,Fe,4
727,P242_73665006707-C7_005_020_proj.tif,0.82,Fe,4
728,P242_73665006707-C8_003_025_proj.tif,0.82,Fe,4
733,P242_73665006707-C8_002_038_proj.tif,0.82,Fe,4
735,P242_73665006707-G3_013_028_proj.tif,0.82,Fe,4
739,P242_73665006707-A8_026_004_proj.tif,0.82,Fe,4
741,P242_73665006707-A6_019_014_proj.tif,0.82,Fe,4
743,P242_73665006707-G3_011_003_proj.tif,0.82,Fe,4
744,P242_73665006707-A6_004_004_proj.tif,0.82,Fe,4
745,P242_73665006707-E4_007_036_proj.tif,0.82,Fe,4
746,P242_73665006707-G4_004_018_proj.tif,0.82,Fe,4
748,P242_73665006707-G3_011_006_proj.tif,0.82,Fe,4
752,P242_73665006707-C7_003_036_proj.tif,0.82,Fe,4
753,P242_73665006707-G3_010_003_proj.tif,0.82,Fe,4
754,P242_73665006707-A8_012_006_proj.tif,0.82,Fe,4
756,P242_73665006707-G3_006_024_proj.tif,0.82,Fe,4
757,P242_73665006707-G3_011_014_proj.tif,0.82,Fe,4
761,P242_73665006707-G3_010_013_proj.tif,0.82,Fe,4
765,P242_73665006707-E4_007_010_proj.tif,0.82,Fe,4
766,P242_73665006707-A6_006_009_proj.tif,0.82,Fe,4
767,P242_73665006707-G4_018_006_proj.tif,0.82,Fe,4
768,P242_73665006707-C7_023_006_proj.tif,0.82,Fe,4
769,P242_73665006707-E4_021_017_proj.tif,0.82,Fe,4
770,P242_73665006707-C8_001_012_proj.tif,0.82,Fe,4
772,P242_73665006707-C7_004_016_proj.tif,0.82,Fe,4
773,P242_73665006707-G4_002_029_proj.tif,0.82,Fe,4
774,P242_73665006707-C7_015_026_proj.tif,0.82,Fe,4
777,P242_73665006707-G4_013_030_proj.tif,0.82,Fe,4
780,P242_73665006707-A6_012_033_proj.tif,0.82,Fe,4
781,P242_73665006707-E4_016_002_proj.tif,0.82,Fe,4
788,P242_73665006707-E4_004_035_proj.tif,0.82,Fe,4
789,P242_73665006707-A6_018_025_proj.tif,0.82,Fe,4
790,P242_73665006707-G4_001_045_proj.tif,0.82,Fe,4
794,P242_73665006707-A8_006_010_proj.tif,0.82,Fe,4
795,P242_73665006707-G3_009_015_proj.tif,0.82,Fe,4
799,P242_73665006707-G4_009_012_proj.tif,0.82,Fe,4
801,P242_73665006707-G3_004_001_proj.tif,0.82,Fe,4
805,P242_73665006707-C6_002_005_proj.tif,0.82,Fe,4
807,P242_73665006707-C8_022_016_proj.tif,0.82,Fe,4
811,P242_73665006707-A8_022_007_proj.tif,0.82,Fe,4
813,P242_73665006707-G4_008_025_proj.tif,0.82,Fe,4
815,P242_73665006707-A8_005_008_proj.tif,0.82,Fe,4
816,P242_73665006707-G3_006_019_proj.tif,0.82,Fe,4
817,P242_73665006707-A6_004_053_proj.tif,0.82,Fe,4
818,P242_73665006707-A8_008_013_proj.tif,0.82,Fe,4
819,P242_73665006707-C7_011_027_proj.tif,0.82,Fe,4
821,P242_73665006707-A6_013_025_proj.tif,0.82,Fe,4
825,P242_73665006707-E4_015_018_proj.tif,0.82,Fe,4
826,P242_73665006707-G4_015_004_proj.tif,0.82,Fe,4
830,P242_73665006707-C7_007_009_proj.tif,0.82,Fe,4
831,P242_73665006707-C8_008_010_proj.tif,0.82,Fe,4
832,P242_73665006707-C7_026_013_proj.tif,0.82,Fe,4
833,P242_73665006707-A8_008_016_proj.tif,0.82,Fe,4
835,P242_73665006707-G3_010_029_proj.tif,0.82,Fe,4
836,P242_73665006707-C7_023_008_proj.tif,0.82,Fe,4
839,P242_73665006707-C7_012_015_proj.tif,0.82,Fe,4
842,P242_73665006707-A6_009_025_proj.tif,0.82,Fe,4
843,P242_73665006707-G3_012_001_proj.tif,0.82,Fe,4
849,P242_73665006707-E4_012_011_proj.tif,0.82,Fe,4
851,P242_73665006707-C7_023_014_proj.tif,0.82,Fe,4
854,P242_73665006707-A8_031_012_proj.tif,0.82,Fe,4
